term,definition and explanations,Step
Vision and motivation,"The vision provides details about the project ultimate goal, its specificity and main objectives: what, for whom and why do we have this project.
It serves to give meaning to the whole endeavor and is a representation of what we want to achieve. It may also present the problem the project aims at solving.",1
harware summary overview,"Short summary of the hardware planned or created, should be created from the hardare_overview document.",
Standard compliance,,
Outputs: Products and data,,
validation,,
education resources,,
Cite this project,,
scientific publication,,
Problem description,,
dependencies,,
software used for development,,
Roadmap,,
Project history summary,,
Future work,,
Community and Contributions,,
List of team members / contributors,,
Who could contribute,,
"Communication channel, how to contribute",,
work culture ,,
guidelines,,
Code of conduct,,
License and rights,,
Funding information,,
Sponsors and funding,,
Future funding opportunities,,
Administrative information,,
ethics statement ,,
competing interest,,
Institutional Review Board Statement,,
Documentation structure,,
conclusions,,
discussions,,
